rpm,input_rate_kg_h,blade_type,jacket_temp,machine_prop_a,machine_prop_b,machine_prop_c,discharge_temp
63.7,6.4,D,49.5,46.4,74.9,14.5,89.4
115.6,33.6,C,115.7,55.0,58.8,2.4,181.0
95.9,19.1,A,178.5,94.2,96.3,35.7,216.3
83.9,27.9,D,154.6,39.2,38.1,59.4,187.9
44.0,45.8,F,147.0,96.2,29.3,39.8,166.1
44.0,16.2,D,147.9,90.6,87.0,44.3,163.9
35.2,23.5,F,87.9,20.4,23.1,90.5,110.4
108.0,39.0,C,76.4,7.9,96.4,35.5,137.4
84.1,15.3,F,166.6,11.0,2.2,51.9,197.8
93.7,8.5,A,166.8,2.8,97.0,78.6,202.4
31.9,18.0,C,176.7,10.3,5.3,40.3,177.8
117.3,12.3,A,184.8,68.6,89.2,62.6,228.0
104.9,46.8,E,114.5,8.0,53.2,86.4,166.1
49.1,41.4,B,112.8,32.6,99.3,95.0,145.4
46.4,33.5,F,164.7,84.6,8.3,15.6,185.0
46.5,44.2,B,138.7,3.3,55.8,92.7,153.8
57.4,41.2,B,147.8,81.6,97.0,49.7,177.6
77.2,13.4,F,164.3,28.9,52.8,26.6,197.6
68.9,45.2,C,180.8,12.7,63.3,46.5,196.8
56.2,29.3,E,84.1,70.0,69.9,98.0,124.7
85.1,41.3,A,90.7,63.3,46.0,49.8,139.5
42.6,45.3,D,41.4,87.9,63.1,33.5,87.4
56.3,19.3,A,126.2,73.8,58.8,63.7,151.4
63.0,10.0,D,31.3,80.5,90.2,24.8,74.7
71.0,15.3,A,106.5,28.9,5.5,8.5,135.5
100.7,24.2,F,120.0,18.6,28.8,13.8,170.5
48.0,41.8,E,75.1,75.3,95.1,13.7,115.9
76.3,43.7,D,128.4,80.9,89.1,16.0,167.1
83.3,5.3,G,30.3,99.1,46.1,14.7,95.7
34.2,28.0,C,31.5,41.8,62.4,64.4,59.5
84.7,23.8,A,169.0,37.8,28.5,19.0,201.9
45.3,15.0,A,88.0,77.9,19.6,35.2,112.3
35.9,10.4,D,47.2,34.7,46.9,89.8,74.8
115.4,20.2,C,116.4,93.1,36.0,47.9,177.8
116.9,47.4,C,159.7,86.0,58.8,67.1,211.4
102.8,19.5,F,62.8,43.5,8.7,18.1,123.7
57.4,28.3,G,134.0,75.3,97.5,20.0,170.1
38.8,36.6,F,39.9,75.7,98.6,5.0,78.8
91.6,21.4,F,34.0,11.2,70.1,17.7,101.7
69.6,48.7,F,118.0,90.4,54.1,28.6,154.0
41.0,48.3,F,119.6,51.0,31.6,18.5,146.8
74.6,16.3,F,136.6,82.8,81.6,9.8,181.8
33.1,27.4,E,152.1,32.7,68.8,12.9,152.0
111.8,18.5,C,195.8,89.7,17.1,46.6,234.5
53.3,17.8,F,115.4,39.5,91.2,21.4,147.9
89.6,6.7,C,81.5,2.1,82.4,37.1,131.5
58.1,32.4,C,164.2,90.6,95.0,50.8,191.8
76.8,27.6,B,72.4,10.0,72.8,69.3,117.4
79.2,7.3,E,101.8,32.6,61.7,4.9,145.6
46.6,17.5,F,38.7,95.1,42.4,80.1,79.7
117.3,45.9,A,29.4,95.1,93.3,63.2,118.9
99.8,15.8,D,193.5,57.8,86.7,9.1,232.8
114.6,11.5,G,171.3,63.6,5.5,87.5,218.7
110.5,27.0,A,146.8,45.4,3.6,92.2,193.9
83.8,49.4,E,96.6,30.0,38.3,7.0,144.2
113.0,15.9,D,55.3,33.5,81.2,28.4,123.7
38.0,35.2,E,52.4,67.6,98.7,80.8,91.1
47.6,39.3,C,68.8,75.5,15.9,75.1,103.4
34.1,15.7,D,121.1,79.4,59.8,19.3,142.3
59.3,37.8,C,150.1,79.2,38.7,21.7,188.5
65.0,21.6,A,140.5,10.0,97.0,37.7,174.1
54.4,33.5,A,74.0,49.9,84.4,49.0,112.2
104.6,33.5,D,192.1,6.7,84.0,62.2,236.9
62.1,29.1,D,154.1,55.4,47.4,37.5,178.7
55.3,9.1,F,122.0,44.7,42.1,46.8,138.5
78.8,42.6,E,132.1,88.9,28.1,75.0,168.1
42.7,19.4,F,98.4,35.7,6.6,4.6,114.6
102.2,13.4,E,68.4,12.6,86.6,26.0,128.1
36.7,6.8,F,87.3,15.2,81.5,71.6,110.7
118.8,31.6,C,157.6,76.4,100.0,89.6,222.1
99.5,35.5,D,27.5,62.2,99.7,51.7,102.0
47.9,5.7,A,45.3,11.0,56.0,53.7,80.8
30.5,28.0,E,33.1,9.3,77.1,11.6,71.2
103.4,15.2,E,32.1,70.4,94.5,45.3,93.3
