feed_rate_kg_h,grinding_pressure_mpa,classifier_rpm,air_flow,bulk_density,d50_micron
29.5,1.18,12783,7.8,0.95,0.5
17.5,1.1,12796,11.2,1.45,0.5
24.1,0.62,11103,13.9,0.96,0.5
43.0,0.84,8090,15.7,1.74,0.5
5.2,0.62,11977,12.3,1.72,0.5
10.5,0.61,13596,9.6,0.33,0.5
35.2,0.46,11253,13.7,0.74,0.5
42.2,0.51,14824,11.6,1.96,0.5
11.2,0.34,14765,10.4,0.26,0.5
30.9,0.75,6667,9.8,1.09,0.5
45.1,0.64,5232,8.1,1.91,0.5
14.4,0.83,6607,11.8,1.66,0.5
13.3,0.87,14235,12.4,0.73,0.5
9.9,0.43,14535,18.5,1.27,0.5
14.9,1.14,7110,15.9,0.98,0.5
49.0,1.15,8605,16.6,1.27,0.5
41.5,0.84,10494,10.6,1.81,0.5
12.7,0.65,7718,10.2,1.2,0.5
41.7,0.63,9606,14.8,1.09,0.5
17.3,0.48,11962,15.7,0.77,0.5
24.4,0.55,10004,6.7,0.67,0.5
47.3,0.52,12161,7.0,1.18,0.5
41.8,0.46,10260,11.8,0.35,0.5
20.1,1.17,5014,7.4,1.34,0.5
12.9,1.16,8947,19.4,1.63,0.5
21.8,0.84,9922,17.6,1.92,0.5
5.3,0.96,9029,12.8,1.43,0.5
16.4,0.61,8543,8.3,1.08,0.5
40.8,0.38,10006,7.0,1.07,0.5
5.7,0.72,9452,19.7,1.94,0.5
31.9,0.76,5904,15.6,0.58,0.5
32.2,0.38,7736,17.9,0.94,0.5
9.7,0.78,14435,10.8,1.98,0.5
22.2,1.19,5265,8.8,0.25,0.5
6.6,0.66,5400,9.5,1.46,0.5
45.1,0.6,7831,17.9,0.25,0.5
49.1,1.02,10823,12.1,0.78,0.5
7.7,0.98,14909,14.9,0.33,0.5
45.1,0.58,14926,17.1,0.31,0.5
31.0,0.87,14931,8.8,0.4,0.5
38.4,0.79,6100,6.2,0.5,0.5
33.4,0.57,11645,16.0,1.33,0.5
31.2,0.4,10240,19.4,0.99,0.5
5.9,0.58,6731,19.3,1.7,0.5
14.5,0.71,14430,12.4,0.63,0.5
29.5,0.89,7419,14.5,0.54,0.5
39.6,0.53,14989,16.0,1.48,0.5
16.3,0.88,10827,18.5,1.74,0.5
17.9,0.48,6833,7.4,1.21,0.5
43.4,0.89,8868,11.1,1.47,0.5
